10364783|2019-08-04 07:20:39.117|2019-08-04 07:20:39.117|0|FairmontCopleyPlaza|1737|General Edward Lawrence Logan Intl Airport|0
10364784|2019-08-04 07:20:39.117|2019-08-04 07:20:39.117|0|FairmontCopleyPlaza|1737|Theodore Francis Green State Airport|0
10364785|2019-08-04 07:20:39.117|2019-08-04 07:20:39.117|0|FairmontCopleyPlaza|1737|Manchester Airport|0
10364788|2019-08-04 07:20:42.603|2019-08-04 07:20:42.603|0|FairmontChateauWhistler|1737|Vancouver International Airport|0
10364814|2019-08-04 07:20:57.493|2019-08-04 07:20:57.493|0|FairmontChicagoMillenniumPark|1737|O`Hare Intl Airport|0
10364815|2019-08-04 07:20:57.493|2019-08-04 07:20:57.493|0|FairmontChicagoMillenniumPark|1737|Chicago Midway Airport|0
10364832|2019-08-04 07:21:10.523|2019-08-04 07:21:10.523|0|FairmontDallas|1737|Dallas/Fort Worth Intl Airport|0
10364833|2019-08-04 07:21:10.523|2019-08-04 07:21:10.523|0|FairmontDallas|1737|Dallas Love Field|0
10364904|2019-08-04 07:22:22.667|2019-08-04 07:22:22.667|0|FairmontClaremontClubAndSpaAHotel|1737|Oakland Intl Airport|0
10364905|2019-08-04 07:22:22.667|2019-08-04 07:22:22.667|0|FairmontClaremontClubAndSpaAHotel|1737|San Francisco Intl Airport|0
10364906|2019-08-04 07:22:22.667|2019-08-04 07:22:22.667|0|FairmontClaremontClubAndSpaAHotel|1737|San Jose Intl Airport|0
10364907|2019-08-04 07:22:22.667|2019-08-04 07:22:22.667|0|FairmontClaremontClubAndSpaAHotel|1737|Sonoma County Airport|0